TimeStamp,SPX
2022-05-31 02:00:00,4132.15
2022-06-01 02:00:00,4101.23
2022-06-02 02:00:00,4176.82
2022-06-03 02:00:00,4108.54
2022-06-06 02:00:00,4121.43
2022-06-07 02:00:00,4160.68
2022-06-08 02:00:00,4115.77
2022-06-09 02:00:00,4017.82
2022-06-10 02:00:00,3900.86
2022-06-13 02:00:00,3749.63
2022-06-14 02:00:00,3735.48
2022-06-15 02:00:00,3789.99
2022-06-16 02:00:00,3666.77
2022-06-17 02:00:00,3674.84
2022-06-20 02:00:00,3674.84
2022-06-21 02:00:00,3764.79
2022-06-22 02:00:00,3759.89
2022-06-23 02:00:00,3795.73
2022-06-24 02:00:00,3911.74
2022-06-27 02:00:00,3900.11
2022-06-28 02:00:00,3821.55
2022-06-29 02:00:00,3818.83
2022-06-30 02:00:00,3785.38
2022-07-01 02:00:00,3825.33
2022-07-04 02:00:00,3825.33
2022-07-05 02:00:00,3831.39
2022-07-06 02:00:00,3845.08
2022-07-07 02:00:00,3902.62
2022-07-08 02:00:00,3899.38
2022-07-11 02:00:00,3854.43
2022-07-12 02:00:00,3818.8
2022-07-13 02:00:00,3801.78
2022-07-14 02:00:00,3790.38
2022-07-15 02:00:00,3863.16
2022-07-18 02:00:00,3830.85
2022-07-19 02:00:00,3936.69
2022-07-20 02:00:00,3959.9
2022-07-21 02:00:00,3998.95
2022-07-22 02:00:00,3961.63
2022-07-25 02:00:00,3966.84
2022-07-26 02:00:00,3921.05
2022-07-27 02:00:00,4023.61
2022-07-28 02:00:00,4072.43
2022-07-29 02:00:00,4130.29
2022-08-01 02:00:00,4118.63
2022-08-02 02:00:00,4091.19
2022-08-03 02:00:00,4155.17
2022-08-04 02:00:00,4151.94
